YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2023,"Thompson, Ausar",SG,77.8,218.2,25.38,NA,84.00,104.0,8.75,9.30,NA,NA,NA,NA,NA,NA,1.080,80.9,NA,NA
2023,"Timme, Drew",C,80.8,243.2,26.22,NA,85.80,108.5,9.00,10.00,26.0,30.5,10.93,NA,3.34,NA,1.062,90.0,134.5,139.0
2023,"Tshiebwe, Oscar",C,79.3,253.6,28.39,NA,87.50,108.0,9.75,10.30,29.5,32.5,12.26,NA,3.32,NA,1.104,99.9,137.5,140.5
2023,"Tubelis, Azuolas",PF,80.8,234.8,25.31,NA,83.00,108.0,9.00,10.50,23.5,30.5,11.17,NA,3.50,NA,1.028,94.5,131.5,138.5
2023,"Vukcevic, Tristan",C,83.3,223.4,22.66,NA,86.50,111.0,9.00,10.30,26.0,30.5,11.71,3.16,3.43,NA,1.039,92.3,137.0,141.5
2023,"Walker, Jarace",PF,78.5,248.6,28.36,NA,86.50,104.5,9.00,10.00,34.5,38.0,10.89,NA,3.20,NA,1.102,90.0,139.0,142.5
2023,"Wallace, Cason",PG,74.5,195.2,24.72,NA,80.50,101.0,8.50,9.30,28.0,36.0,10.82,NA,3.34,NA,1.081,78.6,129.0,137.0
2023,"Walsh, Jordan",SF,77.8,204.0,23.72,NA,85.80,107.0,8.75,8.50,33.0,36.0,10.83,NA,3.30,NA,1.103,74.4,140.0,143.0
2023,"Whitehead, Dariq",SG,77.8,217.2,25.26,NA,82.30,103.5,8.50,10.00,NA,NA,NA,NA,NA,NA,1.058,85.0,NA,NA
2023,"Whitmore, Cam",SF,77.8,235.0,27.33,NA,80.50,103.5,8.00,8.30,31.5,40.5,10.82,3.33,3.20,NA,1.035,66.0,135.0,144.0
2023,"Wilson, Jalen",SF,77.5,230.2,26.94,NA,80.00,99.5,8.25,9.00,31.5,35.0,11.26,3.15,3.20,NA,1.032,74.3,131.0,134.5
2023,"Wong, Isaiah",SG,74.5,178.4,22.60,NA,78.80,97.5,8.25,9.50,32.5,37.0,10.93,NA,3.22,NA,1.057,78.4,130.0,134.5
2022,"Agbaji, Ochai",SG,76.50,216.8,26.04,0.0540,82.25,104.0,8.75,9.50,32.0,39.0,10.77,3.11,3.13,NA,1.075,83.1,136.0,143.0
2022,"Baldwin Jr., Patrick",SF,81.25,230.8,24.58,0.0890,85.75,110.5,8.75,9.50,23.5,26.5,12.25,3.30,3.45,NA,1.055,83.1,134.0,137.0
2022,"Barlow, Dominick",PF,80.75,221.0,23.83,0.0590,87.00,108.5,9.00,10.50,28.5,34.0,11.29,3.19,3.33,NA,1.077,94.5,137.0,142.5
2022,"Beauchamp, MarJon",SG,77.25,196.6,23.16,0.0530,84.75,106.0,9.00,9.00,NA,NA,NA,NA,NA,NA,1.097,81.0,NA,NA
2022,"Besson, Hugo",SG,76.50,180.4,21.67,0.0880,77.50,102.0,7.50,8.50,24.5,31.5,11.36,3.25,3.40,NA,1.013,63.8,126.5,133.5
2022,"Branham, Malaki",SG,76.00,194.8,23.71,0.0610,82.00,102.5,8.50,9.80,29.0,35.0,11.38,3.09,3.17,NA,1.079,82.9,131.5,137.5
2022,"Braun, Christian",SG,77.50,209.2,24.49,0.0620,78.50,99.5,8.00,8.50,33.5,40.0,11.00,3.13,3.16,NA,1.013,68.0,133.0,139.5
2022,"Brown, Kendall",SF,78.25,201.2,23.10,0.0490,83.00,103.0,9.00,9.00,31.5,41.0,11.57,3.05,3.29,NA,1.061,81.0,134.5,144.0
2022,"Butler Jr., John",PF,83.75,174.4,17.48,0.0470,86.25,112.0,8.50,8.80,26.5,28.5,11.16,3.04,3.33,NA,1.030,74.4,138.5,140.5
2022,"Champagnie, Julian",SF,78.25,212.4,24.39,0.0710,82.00,107.0,8.75,9.30,28.5,34.5,11.39,3.04,3.14,NA,1.048,80.9,135.5,141.5
2022,"Chandler, Kennedy",PG,71.5,172.2,23.68,0.0440,77.25,97.0,8.50,9.50,31.0,41.5,10.73,2.89,NA,NA,1.080,80.8,128.0,138.5
2022,"Christie, Max",SG,76.25,189.2,22.88,0.0480,80.75,102.5,8.00,8.50,32.0,37.5,10.82,3.02,3.07,NA,1.059,68.0,134.5,140.0
2022,"Cockburn, Kofi",C,83,293.0,29.90,0.0820,88.25,110.5,9.75,10.30,29.5,32.5,12.11,3.31,3.33,NA,1.063,99.9,140.0,143.0
2022,"Daniels, Dyson",SG,78,195.2,22.56,0.0490,82.50,105.0,8.50,9.80,29.0,34.0,10.81,2.81,3.22,NA,1.058,82.9,134.0,139.0
2022,"Davis, Johnny",PG,76.25,196.4,23.75,0.0670,80.50,103.5,8.50,10.30,NA,NA,NA,NA,NA,NA,1.056,87.1,NA,NA
2022,"Davison, JD",PG,72.5,191.8,25.65,0.0780,78.50,99.5,8.50,9.50,30.0,37.0,11.38,3.23,3.26,NA,1.083,80.8,129.5,136.5
2022,"Diabate, Moussa",C,81.25,216.6,23.07,0.0270,86.50,109.5,8.50,10.50,29.0,36.5,11.16,2.90,3.26,NA,1.065,89.3,138.5,146.0
2022,"Eason, Tari",PF,78.75,217.4,24.64,0.0590,86.00,107.5,9.25,11.00,NA,NA,NA,NA,NA,NA,1.092,101.8,NA,NA
2022,"Ellis, Keon",SG,75.5,167.4,20.65,0.0380,80.50,102.0,8.00,9.30,28.0,35.5,10.87,3.02,3.18,NA,1.066,74.0,130.0,137.5
2022,"Foster Jr., Michael",C,79.75,236.6,26.15,0.0620,84.25,109.5,8.75,10.00,28.0,32.5,11.49,3.10,3.22,NA,1.056,87.5,137.5,142.0
2022,"Gillespie, Collin",PG,73.5,195.8,25.48,0.0860,76.00,98.0,8.25,9.00,26.5,33.0,10.95,3.01,3.21,NA,1.034,74.3,124.5,131.0
2022,"Harper Jr., Ron",SF,76,240.4,29.26,0.1430,85.25,105.5,9.50,10.00,26.0,30.5,11.41,3.24,3.40,NA,1.122,95.0,131.5,136.0
2022,"Jovic, Nikola",SF,81.5,222.6,23.56,0.0740,84.25,108.5,8.75,9.80,NA,NA,NA,NA,NA,NA,1.034,85.3,NA,NA
2022,"Juzang, Johnny",SG,77.25,208.6,24.57,0.0750,83.00,102.5,8.50,9.50,27.5,32.5,11.03,3.17,3.29,NA,1.074,80.8,130.0,135.0
2022,"Keels, Trevor",SG,75.25,223.8,27.78,0.1350,79.25,101.0,8.25,9.00,24.5,31.0,11.33,3.32,3.27,NA,1.053,74.3,125.5,132.0
2022,"Kessler, Walker",C,84.25,256.0,25.35,0.1470,88.25,113.0,8.50,8.50,NA,NA,NA,NA,NA,NA,1.047,72.3,NA,NA
2022,"Koloko, Christian",C,82.75,221.0,22.69,0.0570,89.25,113.0,9.00,10.80,28.0,33.5,11.30,3.19,3.27,NA,1.079,96.8,141.0,146.5
2022,"LaRavia, Jake",PF,78.75,227.2,25.76,0.0900,81.50,104.0,8.50,10.30,27.5,34.0,10.58,2.89,3.37,NA,1.035,87.1,131.5,138.0
2022,"Lewis, Justin",PF,78.25,235.4,27.03,0.0730,86.50,105.5,9.00,10.50,32.5,35.0,11.49,3.02,3.23,NA,1.105,94.5,138.0,140.5
2022,"Liddell, E.J.",PF,77.5,243.0,28.44,0.1220,83.75,103.5,8.25,9.30,35.5,38.0,11.11,3.23,3.26,NA,1.081,76.3,139.0,141.5
2022,"Mathurin, Bennedict",SG,76.5,204.6,24.58,0.0570,81.00,104.0,8.50,9.80,NA,NA,NA,NA,NA,NA,1.059,82.9,NA,NA
2022,"Mayer, Matthew",SF,80,216.4,23.77,0.1110,82.50,105.0,9.00,10.30,25.5,31.5,10.74,NA,3.39,NA,1.031,92.3,130.5,136.5
